0.000000 0.078165
0.102041 0.077760
0.204082 0.076558
0.306122 0.074596
0.408163 0.071933
0.510204 0.068649
0.612245 0.064837
0.714286 0.060603
0.816327 0.056060
0.918367 0.051321
1.020408 0.046496
1.122449 0.041689
1.224490 0.036992
1.326531 0.032483
1.428571 0.028229
1.530612 0.024278
1.632653 0.020663
1.734694 0.017404
1.836735 0.014508
1.938776 0.011967
2.040816 0.009770
2.142857 0.007893
2.244898 0.006311
2.346939 0.004993
2.448980 0.003910
2.551020 0.003030
2.653061 0.002323
2.755102 0.001763
2.857143 0.001324
2.959184 0.000984
3.061224 0.000724
3.163265 0.000527
3.265306 0.000380
3.367347 0.000271
3.469388 0.000191
3.571429 0.000133
3.673469 0.000092
3.775510 0.000063
3.877551 0.000043
3.979592 0.000029
4.081633 0.000019
4.183673 0.000012
4.285714 0.000008
4.387755 0.000005
4.489796 0.000003
4.591837 0.000002
4.693878 0.000001
4.795918 0.000001
4.897959 0.000000
5.000000 0.000000
